DATAFLOW,LAST UPDATE,freq,nrg_bal,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Albania,2019,38.042,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Albania,2020,45.015,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Albania,2021,41.389,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Albania,2022,44.076,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Albania,2023,46.620,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Austria,2019,33.755,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Austria,2020,36.545,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Austria,2021,34.792,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Austria,2022,34.075,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Austria,2023,40.844,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Bosnia and Herzegovina,2019,37.454,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Bosnia and Herzegovina,2020,39.835,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Bosnia and Herzegovina,2021,36.562,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Belgium,2019,9.929,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Belgium,2020,13,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Belgium,2021,13.076,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Belgium,2022,13.816,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Belgium,2023,14.741,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Bulgaria,2019,21.545,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Bulgaria,2020,23.319,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Bulgaria,2021,19.445,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Bulgaria,2022,19.044,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Bulgaria,2023,22.549,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Cyprus,2019,13.777,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Cyprus,2020,16.879,,
